रोग,हिंदी नाम,मराठी नाम,लक्षण,निदान एवं परीक्षण,लक्षण गंभीरता,उपचार की अवधि,चिकित्सा इतिहास,वर्तमान दवाएँ,जोखिम कारक,पर्यावरणीय कारक,नींद के पैटर्न,तनाव का स्तर,शारीरिक गतिविधि का स्तर,पारिवारिक इतिहास,आहार संबंधी आदतें,एलर्जी (खाद्य/पर्यावरण),मौसमी बदलाव,आयु समूह,लिंग,व्यवसाय और जीवनशैली,सांस्कृतिक प्राथमिकताएँ,हर्बल/वैकल्पिक उपचार,आयुर्वेदिक जड़ी बूटियाँ,सूत्रीकरण,दोष,संविधान/प्रकृति,आहार और जीवनशैली संबंधी सिफारिशें,योग और भौतिक चिकित्सा,चिकित्सा हस्तक्षेप,रोकथाम,रोग का निदान,जटिलताओं,रोगी की सिफारिशें
सिस्टिक फाइब्रोसिस,सिस्���क फाइब्रोसिस,सिस्���क फाइब्रोसिस,"लगातार खांसी, फेफड़ों में संक्रमण, सांस लेने में कठिनाई","पसीना परीक्षण, आनुवंशिक परीक्षण, छाती का एक्स-रे",गंभीर,आजीवन प्रबंधन,"आनुवंशिक, श्वसन विकार","म्यूकोलाईटिक्स, जीवाणुरोधी दवाएं","आनुवंशिकी, पारिवारिक इतिहास","खराब श्वसन स्वास्थ्य, आनुवंशिकी",अनियमित नींद,उच्च तनाव,कम,सिस्टिक फाइब्रोसिस का पारिवारिक इतिहास,"उच्च प्रोटीन, नमक युक्त आहार",श्वसन एलर्जी,सभी मौसम,"बच्चे, वयस्क",दोनों लिंग,श्वसन देखभाल की आवश्यकता है,श्वसन संक्रमण से बचाता है,कोई नहीं,कोई नहीं,"मेथी (3 ग्राम), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)",कफ,कफ-पित्त,"जलयोजन पर ध्यान दें, डेयरी और बलगम बनाने वाले खाद्य पदार्थों से बचें।","श्वास व्यायाम, भौतिक चिकित्सा","छाती फिजियोथेरेपी, एंजाइम प्रतिस्थापन","संक्रमण से बचें, छाती की फिजियोथेरेपी","दीर्घकालिक, निरंतर देखभाल की आवश्यकता होती है","फेफड़ों में संक्रमण, पाचन संबंधी समस्याएं","नियमित फिजियोथेरेपी, फेफड़ों की कार्यक्षमता में सहायता"
मधुमेह,मधुमेह,मधुमेह,"अत्यधिक प्यास, बार-बार पेशाब आना, धुंधली दृष्टि","रक्त शर्करा परीक्षण, एचबीए १ सी परीक्षण",मध्यम से गंभीर,आजीवन प्रबंधन,"आनुवंशिक, मोटापा, ख़राब आहार","इंसुलिन, ओरल हाइपोग्लाइसेमिक्स","मोटापा, आनुवंशिकी, आयु > 40","खराब आहार, गतिहीन जीवनशैली",अनियमित नींद,उच्च तनाव,कम,मधुमेह का पारिवारिक इतिहास,"कम कार्ब, कम चीनी आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,रक्त शर्करा की निगरानी की आवश्यकता है,मीठे खाद्य पदार्थों से बचें,"दालचीनी, कड़वा तरबूज, जिम्नेमा","जामुन, गुडमार","कड़वा तरबूज (१ चम्मच), मेथी (३ ग्राम), गर्म पानी (२०० मिलीलीटर)","वात, कफ",कफ-पित्त,"कम ग्लाइसेमिक, उच्च फाइबर आहार का पालन करें, नियमित रूप से व्यायाम करें।","सूर्य नमस्कार, प्राणायाम","इंसुलिन, मौखिक दवाएं","स्वस्थ आहार, व्यायाम, नियमित जांच","दीर्घकालिक, प्रबंधनीय","रेटिनोपैथी, किडनी रोग, न्यूरोपैथी","नियमित रक्त शर्करा की निगरानी, स्वस्थ जीवन शैली"
मिरगी,मिर्गी,मिर्गी,"दौरे, भ्रम, चेतना की हानि","ईईजी, एमआरआई, रक्त परीक्षण",गंभीर,आजीवन प्रबंधन,"आनुवंशिक, मस्तिष्क की चोट, संक्रमण",ऐंठनरोधी,"आनुवंशिकी, मस्तिष्क की चोट, संक्रमण","तनाव, नींद की कमी",अनियमित नींद,उच्च तनाव,कम,मिर्गी का पारिवारिक इतिहास,"संतुलित, उच्च प्रोटीन आहार",कोई नहीं,सभी मौसम,"बच्चे, वयस्क",दोनों लिंग,नियमित निगरानी की आवश्यकता है,ट्रिगर्स से बचता है,कोई नहीं,"ब्राह्मी, अश्वगंधा","ब्राह्मी (2 ग्राम), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)","वात, पित्त",वात-कफ,"तनाव को नियंत्रित करने के लिए ट्रिगर्स से बचें, ध्यान और योग का अभ्यास करें।","विश्राम के लिए योग, संतुलन अभ्यास","मिर्गीरोधी दवाएं, सर्जरी","दवा का पालन, ट्रिगर्स से बचें","दीर्घकालिक, उपचार से प्रबंधनीय","दौरे से होने वाली चोटें, संज्ञानात्मक समस्याएं","निर्धारित दवा का पालन करें, ट्रिगर्स से बचें"
Fibromyalgia,फिब्रोमायल्गिया,फिब्रोमायल्गिया,"पुराना दर्द, थकान, नींद में गड़बड़ी, सिरदर्द","टेंडर पॉइंट परीक्षा, रक्त परीक्षण",गंभीर,दीर्घकालिक प्रबंधन,"स्वप्रतिरक्षी, तनाव, नींद संबंधी विकार","दर्द निवारक, अवसादरोधी दवाएं","तनाव, आनुवंशिकी, संक्रमण","दीर्घकालिक तनाव, खराब नींद",अनियमित नींद,उच्च तनाव,कम,फाइब्रोमायल्जिया का पारिवारिक इतिहास,"संतुलित, पोषक तत्वों से भरपूर आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,भौतिक चिकित्सा की आवश्यकता है,तनाव ट्रिगर से बचता है,"हल्दी, लैवेंडर, एप्सम नमक स्नान","अश्वगंधा, गुग्गुल","अश्वगंधा (5 ग्राम), अदरक (2 ग्राम), गर्म पानी (200 मिली)","वात, पित्त",वात-कफ,योग और सौम्य व्यायाम जैसी तनाव-मुक्ति गतिविधियों पर ध्यान केंद्रित करें।,"पुनर्स्थापनात्मक योग, स्ट्रेचिंग","दर्द निवारक, अवसादरोधी दवाएं","तनाव प्रबंधन, व्यायाम, नींद की स्वच्छता","क्रोनिक, उपचार से सुधार हो सकता है","नींद में गड़बड़ी, अवसाद","नियमित व्यायाम, तनाव में कमी"
पित्त पथरी,पित्ताशय में पथरी,पित�त�शयातील गॅलस्टोन,"पेट दर्द, मतली, उल्टी, सूजन","अल्ट्रासाउंड, सीटी स्कैन, रक्त परीक्षण",मध्यम से गंभीर,"भिन्न होता है, अक्सर शल्य चिकित्सा द्वारा","मोटापा, उच्च वसा वाला आहार","दर्द निवारक, सर्जरी","मोटापा, उच्च वसा वाला आहार, गर्भावस्था","उच्च वसायुक्त आहार, गतिहीन जीवनशैली",अनियमित नींद,मध्यम तनाव,कम,पित्त पथरी का पारिवारिक इतिहास,"कम वसा, उच्च फाइबर आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,जीवनशैली में बदलाव की आवश्यकता है,उच्च वसा वाले खाद्य पदार्थों से परहेज करता है,"सेब साइडर सिरका, नींबू का रस",कोई नहीं,"हल्दी (1/2 छोटा चम्मच), सिंहपर्णी जड़ (1 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,पित्त-कफ,"वसायुक्त भोजन से बचें, फाइबर का सेवन बढ़ाएं और हाइड्रेटेड रहें।",कोई नहीं,"सर्जरी (कोलेसिस्टेक्टोमी), दवाएं","स्वस्थ आहार, वजन प्रबंधन",सर्जरी से प्रबंधित किया जा सकता है,"अग्नाशयशोथ, पित्त नली का संक्रमण","स्वस्थ आहार बनाए रखें, वसायुक्त भोजन से बचें"
ग्लोमेरुलोनेफ्राइटिस,ग्लोमेरुलोनेफ्रिटिस,ग्लोमेरुलोनेफ्रिटिस,"सूजन, उच्च रक्तचाप, गहरे रंग का मूत्र, थकान","मूत्र परीक्षण, रक्त परीक्षण, किडनी बायोप्सी",गंभीर,3-6 महीने,"गुर्दे का संक्रमण, ऑटोइम्यून","स्टेरॉयड, इम्यूनोसप्रेसेन्ट्स","संक्रमण, आनुवंशिक कारक","गुर्दे की खराब कार्यप्रणाली, संक्रमण",अनियमित नींद,उच्च तनाव,कम,गुर्दे की बीमारी का पारिवारिक इतिहास,"कम सोडियम, उच्च प्रोटीन आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,गुर्दे की निगरानी की आवश्यकता है,नमक युक्त खाद्य पदार्थों से परहेज करता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"अदरक (2 ग्राम), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,कफ-वात,"नमक का सेवन कम करें, एंटीऑक्सीडेंट से भरपूर किडनी-अनुकूल आहार पर ध्यान केंद्रित करें।","डायलिसिस, प्रत्यारोपण चिकित्सा","दवाएं, डायलिसिस, प्रत्यारोपण","प्रारंभिक निदान, संक्रमण का इलाज",उपचार से प्रबंधित किया जा सकता है,"गुर्दे की विफलता, उच्च रक्तचाप","नियमित निगरानी, संक्रमण का इलाज"
"हेपेटाइटिस (ए, बी, सी)","ए, बी, सी)","ए, बी, सी)","थकान, पीलिया, पेट दर्द, मतली","रक्त परीक्षण, लिवर बायोप्सी",गंभीर,1-6 महीने,"वायरल संक्रमण, खराब स्वच्छता","एंटीवायरल दवाएं, सहायक देखभाल","असुरक्षित यौन संबंध, सुई साझा करना","खराब स्वच्छता, असुरक्षित पानी",अनियमित नींद,उच्च तनाव,कम,हेपेटाइटिस का पारिवारिक इतिहास,"संतुलित, यकृत-अनुकूल आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,लीवर की निगरानी की आवश्यकता है,शराब से परहेज करता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"मिल्क थीस्ल (1 छोटा चम्मच), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,पित्त-कफ,"शराब से बचें, पत्तेदार सब्जियां और चुकंदर जैसे यकृत-अनुकूल खाद्य पदार्थ खाएं।",कोई विशिष्ट नहीं,"एंटीवायरल दवाएं, टीकाकरण","टीकाकरण (ए और बी), सुरक्षित प्रथाएँ",दवा से प्रबंधित किया जा सकता है,"सिरोसिस, लिवर कैंसर","सुरक्षित प्रथाएँ, टीकाकरण"
दिल का दौरा (मायोकार्डियल इन्फार्क्शन),दिल का दौरा,हृदयविकाराचा झ�का,"सीने में दर्द, सांस लेने में तकलीफ, पसीना आना, चक्कर आना","ईसीजी, रक्त परीक्षण, कोरोनरी एंजियोग्राम",गंभीर,जिंदगी भर,"उच्च रक्तचाप, उच्च कोलेस्ट्रॉल","रक्त पतला करने वाली दवाएं, स्टैटिन","उच्च रक्तचाप, उच्च कोलेस्ट्रॉल","उच्च रक्तचाप, धूम्रपान, तनाव",अनियमित नींद,उच्च तनाव,कम,हृदय रोग का पारिवारिक इतिहास,"कम वसा, हृदय-स्वस्थ आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,हृदय की निगरानी की आवश्यकता है,धूम्रपान से बचें,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"लहसुन (2 लौंग), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,वात-कफ,"हृदय के लिए स्वस्थ आहार का पालन करें, नियमित व्यायाम करें, तनाव के स्तर को नियंत्रित रखें।",हृदय पुनर्वास,"आपातकालीन देखभाल, दवाएँ, सर्जरी","स्वस्थ आहार, व्यायाम, धूम्रपान से बचें",उपचार से प्रबंधित किया जा सकता है,"हृदय विफलता, अतालता","स्वस्थ आहार, तनाव प्रबंधन"
हेपेटाइटिस,हेपेटाइटिस,हेपेटाइटिस,"पीलिया, थकान, मतली, भूख न लगना","रक्त परीक्षण, लिवर बायोप्सी",गंभीर,1-6 महीने,"वायरल संक्रमण, शराब का दुरुपयोग","एंटीवायरल दवाएं, सहायक देखभाल","शराब का सेवन, वायरल संक्रमण","खराब स्वच्छता, शराब का सेवन",अनियमित नींद,उच्च तनाव,कम,हेपेटाइटिस का पारिवारिक इतिहास,"संतुलित, यकृत-अनुकूल आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,लीवर की निगरानी की आवश्यकता है,शराब से परहेज करता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"अदरक (2 ग्राम), नीम के पत्ते (5-6), गर्म पानी (200 मिली)",पित्त,पित्त-कफ,"शराब से बचें, एंटीऑक्सीडेंट से भरपूर लीवर-सहायक आहार अपनाएं।",कोई विशिष्ट नहीं,"एंटीवायरल दवाएं, टीकाकरण","टीकाकरण (ए और बी), सुरक्षित प्रथाएँ",दवा से प्रबंधित किया जा सकता है,"सिरोसिस, लिवर कैंसर","सुरक्षित प्रथाएँ, टीकाकरण"
उच्च रक्तचाप,उच्च रक्तचाप,उच्च रक्तदाब,"उच्च रक्तचाप, चक्कर आना, सिरदर्द, सांस लेने में तकलीफ",रक्तचाप माप,मध्यम से गंभीर,जिंदगी भर,"अधिक नमक का सेवन, मोटापा, तनाव",उच्चरक्तचापरोधी,"आयु, मोटापा, पारिवारिक इतिहास","उच्च नमक आहार, व्यायाम की कमी",अनियमित नींद,उच्च तनाव,कम,उच्च रक्तचाप का पारिवारिक इतिहास,"कम सोडियम, संतुलित आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,रक्तचाप की निगरानी की आवश्यकता है,उच्च नमक वाले खाद्य पदार्थों से बचें,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"अश्वगंधा (5 ग्राम), लहसुन (2 लौंग), गर्म पानी (200 मिली)",पित्त,वात-कफ,"नमक का सेवन कम करें, ध्यान जैसी तनाव कम करने वाली प्रथाओं को शामिल करें।",कोई विशिष्ट नहीं,उच्चरक्तचापरोधी दवाएँ,"स्वस्थ आहार, नियमित व्यायाम",दवा से प्रबंधित किया जा सकता है,"हृदय रोग, स्ट्रोक","नियमित व्यायाम, तनाव प्रबंधन"
किडनी कैंसर,गुर्दे का कैंसर,किडनी कॅन्सर,"पीठ दर्द, पेशाब में खून आना, वजन कम होना, थकान","रक्त परीक्षण, सीटी स्कैन, बायोप्सी",गंभीर,6-12 महीने,"धूम्रपान, मोटापा, क्रोनिक किडनी रोग","सर्जरी, कीमोथेरेपी, विकिरण","धूम्रपान, पारिवारिक इतिहास, मोटापा","धूम्रपान, उच्च रक्तचाप",अनियमित नींद,उच्च तनाव,कम,किडनी कैंसर का पारिवारिक इतिहास,"कम वसा, उच्च प्रोटीन आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,गुर्दे की निगरानी की आवश्यकता है,कार्सिनोजेन्स से बचता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"सिंहपर्णी जड़ (1 छोटा चम्मच), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,कफ-वात,"विषहरण पर ध्यान दें, प्रसंस्कृत खाद्य पदार्थों से बचें, जलयोजन बढ़ाएं।",कोई विशिष्ट नहीं,"सर्जरी, कीमोथेरेपी, विकिरण","स्वस्थ आहार, नियमित व्यायाम",उपचार से प्रबंधित किया जा सकता है,"अन्य अंगों में फैलना, गुर्दे की विफलता","नियमित निगरानी, जीवनशैली में बदलाव"
कुष्ठ रोग,कुष्ठ रोग,कुष्ठरोग,"त्वचा के घाव, तंत्रिका क्षति, सुन्नता, मांसपेशियों में कमजोरी","त्वचा बायोप्सी, रक्त परीक्षण",मध्यम से गंभीर,6-12 महीने,"संक्रमित व्यक्ति के संपर्क में आना, खराब स्वच्छता","एंटीबायोटिक्स (जैसे, रिफाम्पिसिन)",संक्रमित व्यक्तियों से संपर्क करें,"खराब स्वच्छता, दूसरों के साथ निकट संपर्क",अनियमित नींद,उच्च तनाव,कम,कुष्ठ रोग का पारिवारिक इतिहास,"संतुलित, उच्च प्रोटीन आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,नियमित निगरानी की आवश्यकता है,भीड़-भाड़ वाली जगहों से बचें,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"नीम के पत्ते (5-6), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,पित्त-कफ,"स्वच्छता बनाए रखें, प्रतिरक्षा बढ़ाने वाले खाद्य पदार्थों का सेवन करें, तनाव से बचें।",कोई विशिष्ट नहीं,एंटीबायोटिक दवाओं,"अच्छी स्वच्छता, संपर्क से बचें",दवा से प्रबंधित किया जा सकता है,"तंत्रिका क्षति, विकृतियाँ","अच्छी स्वच्छता, नियमित निगरानी"
ल्यूकेमिया,ल्यूकेमिया,ल्यूकेमिया,"थकान, बुखार, वजन घटना, आसानी से चोट लगना, बार-बार संक्रमण होना","रक्त परीक्षण, अस्थि मज्जा बायोप्सी",गंभीर,जिंदगी भर,"आनुवंशिक, पर्यावरणीय जोखिम (जैसे, रसायन)","कीमोथेरेपी, अस्थि मज्जा प्रत्यारोपण","आनुवंशिकी, रासायनिक जोखिम","कार्सिनोजेन्स, विकिरण के संपर्क में आना",अनियमित नींद,उच्च तनाव,कम,ल्यूकेमिया का पारिवारिक इतिहास,"कम चीनी, उच्च पोषक आहार",कोई नहीं,सभी मौसम,"वयस्क, बच्चे",दोनों लिंग,चिकित्सा देखभाल की आवश्यकता है,विषाक्त पदार्थों से बचाता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"अश्वगंधा (5 ग्राम), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,वात-कफ,"पोषक तत्वों से भरपूर खाद्य पदार्थ और एंटीऑक्सीडेंट शामिल करें, तनाव के स्तर को कम करें।",कोई विशिष्ट नहीं,"कीमोथेरेपी, अस्थि मज्जा प्रत्यारोपण","नियमित निगरानी, स्वस्थ जीवन शैली",उपचार से प्रबंधित किया जा सकता है,"संक्रमण, रक्तस्राव","नियमित निगरानी, रक्त आधान"
लिंफोमा,लिंफोमा,लिंफोमा,"लिम्फ नोड्स में सूजन, बुखार, रात को पसीना आना, वजन कम होना","रक्त परीक्षण, लिम्फ नोड बायोप्सी",गंभीर,जिंदगी भर,"कमजोर प्रतिरक्षा प्रणाली, वायरल संक्रमण","कीमोथेरेपी, इम्यूनोथेरेपी","कमजोर प्रतिरक्षा प्रणाली, आनुवंशिकी","वायरस के संपर्क में आना (जैसे, एपस्टीन-बार)",अनियमित नींद,उच्च तनाव,कम,लिम्फोमा का पारिवारिक इतिहास,"कम वसा, सूजनरोधी आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,निरंतर उपचार की आवश्यकता है,संक्रमण से बचाता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"अदरक (2 ग्राम), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,वात-कफ,"सूजनरोधी आहार लें, मध्यम व्यायाम करें, तनाव से बचें।",कोई विशिष्ट नहीं,"कीमोथेरेपी, विकिरण चिकित्सा","शीघ्र निदान, स्वस्थ जीवन शैली",उपचार से प्रबंधित किया जा सकता है,"संक्रमण, अंग क्षति","नियमित निगरानी, स्वस्थ आहार"
मलेरिया,मलेरिया,मलेरिया,"बुखार, ठंड लगना, पसीना आना, सिरदर्द, मांसपेशियों में दर्द","रक्त स्मीयर, रैपिड डायग्नोस्टिक टेस्ट",मध्यम से गंभीर,1-2 सप्ताह,संक्रमित मच्छरों के संपर्क में आना,मलेरिया रोधी दवाएँ,मच्छरों के काटने पर स्थानिक क्षेत्रों की यात्रा,"उष्णकटिबंधीय क्षेत्र, खराब स्वच्छता",अनियमित नींद,मध्यम तनाव,कम,मलेरिया का पारिवारिक इतिहास,"कम चीनी, उच्च कार्बोहाइड्रेट आहार",कोई नहीं,बरसात का मौसम,सभी आयु समूह,दोनों लिंग,मच्छर-प्रवण क्षेत्रों से बचता है,मच्छर से सुरक्षा की आवश्यकता है,"हर्बल उपचार, नीम",कोई विशिष्ट नहीं,"नीम के पत्ते (5-6), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,कफ-पित्त,"मच्छरों के संपर्क से बचें, हाइड्रेटेड रहें, संतुलित आहार बनाए रखें।",कोई विशिष्ट नहीं,मलेरिया रोधी दवाएँ,"मच्छरदानी, मलेरिया रोधी दवाएँ",दवा से प्रबंधित किया जा सकता है,"अंग क्षति, मृत्यु","मच्छरदानी का प्रयोग करें, मलेरिया रोधी दवाएँ लें"
खसरा,का ��रा,का ��रा,"बुखार, खांसी, दाने, गले में खराश, लाल आंखें","शारीरिक परीक्षण, रक्त परीक्षण",गंभीर,2-3 सप्ताह,"टीकाकरण का अभाव, निकट संपर्क","ज्वरनाशक, विटामिन ए",बिना टीकाकरण वाले बच्चे,"भीड़भाड़ वाले स्थान, खराब स्वच्छता",अनियमित नींद,उच्च तनाव,कम,खसरे का पारिवारिक इतिहास,"संतुलित, विटामिन युक्त आहार",कोई नहीं,"सर्दी, शुरुआती वसंत",बच्चे,दोनों लिंग,टीकाकरण की आवश्यकता है,भीड़-भाड़ वाली जगहों से बचें,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"हल्दी (1/2 छोटा चम्मच), अदरक (2 ग्राम), गर्म पानी (200 मिली)",पित्त,पित्त-कफ,"हाइड्रेटेड रहें, खुजली वाले या तैलीय खाद्य पदार्थों से बचें और अच्छी स्वच्छता बनाए रखें।",कोई विशिष्ट नहीं,"टीकाकरण, सहायक देखभाल","टीकाकरण, संपर्क से बचें",टीकाकरण से रोका जा सकता है,"निमोनिया, एन्सेफलाइटिस","टीकाकरण, बीमारी के दौरान अलगाव"
मल्टीपल स्क्लेरोसिस,मल्टीपल स्क्लेरोसिस,मल्टीपल स्क्लेरोसिस,"मांसपेशियों में कमजोरी, समन्वय की समस्या, दृष्टि संबंधी समस्याएं","एमआरआई, लम्बर पंचर, रक्त परीक्षण",गंभीर,जिंदगी भर,"आनुवंशिक, स्वप्रतिरक्षी प्रतिक्रिया",रोग-संशोधित औषधियाँ,"आनुवंशिकी, पर्यावरणीय कारक","तनाव, ठंडा मौसम",अनियमित नींद,उच्च तनाव,कम,एमएस का पारिवारिक इतिहास,"संतुलित, ओमेगा-3 समृद्ध आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,भौतिक चिकित्सा की आवश्यकता है,ठंडे वातावरण से बचता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"ब्राह्मी (2 ग्राम), अश्वगंधा (5 ग्राम), गर्म पानी (200 मिली)",वात,वात-पित्त,"सूजनरोधी खाद्य पदार्थों का सेवन करें, तनाव दूर करने वाली गतिविधियों का अभ्यास करें।",कोई विशिष्ट नहीं,रोग संशोधन चिकित्सा (डीएमटी),"शीघ्र निदान, स्वस्थ जीवन शैली",दवा से प्रबंधित किया जा सकता है,"विकलांगता, संक्रमण","नियमित निगरानी, सहायक देखभाल"
पार्किंसंस रोग,कातिल कातिल कातिल कातिल कातिल,कातिल कातिल कातिल कातिल कातिल,"कंपन, अकड़न, धीमी गति, संतुलन संबंधी समस्याएं","शारीरिक परीक्षण, एमआरआई, रक्त परीक्षण",गंभीर,जिंदगी भर,"आयु, आनुवंशिक कारक, मस्तिष्क की चोट","डोपामिनर्जिक दवाएं, सर्जरी","आयु, आनुवंशिकी, विषाक्त पदार्थ","विषाक्त पदार्थों के संपर्क में आना, आनुवंशिक कारक",अनियमित नींद,मध्यम तनाव,कम,पार्किंसंस का पारिवारिक इतिहास,"उच्च फाइबर, एंटीऑक्सीडेंट युक्त आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,नियमित निगरानी की आवश्यकता है,तनाव से बचाता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"अश्वगंधा (5 ग्राम), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)","वात, पित्त",वात-कफ,"अखरोट जैसे मस्तिष्क-सहायक खाद्य पदार्थों को शामिल करें, प्रसंस्कृत खाद्य पदार्थों से बचें।","भौतिक चिकित्सा, व्यायाम","दवाएं, सर्जरी","शीघ्र निदान, नियमित निगरानी",दवा से प्रबंधित किया जा सकता है,"मनोभ्रंश, आवागमन संबंधी मुद्दे","नियमित व्यायाम, दवाएँ"
न्यूमोसिस्टिस निमोनिया,न्�ुमोसायटिस न्यूमोनिया,न्�ूमोनोकिस्ट न्यूमोनिया,"खांसी, सांस लेने में कठिनाई, बुखार, सीने में दर्द","छाती का एक्स-रे, रक्त परीक्षण, थूक संस्कृति",गंभीर,2-4 सप्ताह,"कमजोर प्रतिरक्षा प्रणाली, एचआईवी/एड्स",रोगाणुरोधी दवाएं,"एचआईवी/एड्स, कमजोर प्रतिरक्षा प्रणाली","प्रतिरक्षाविहीन, पर्यावरणीय कारक",अनियमित नींद,उच्च तनाव,कम,निमोनिया का पारिवारिक इतिहास,"कम चीनी, प्रोटीन युक्त आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,प्रतिरक्षा समर्थन की आवश्यकता है,संक्रमण से बचाता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"लहसुन (2 लौंग), अदरक (2 ग्राम), गर्म पानी (200 मिली)",पित्त,वात-कफ,"ठंडे और नम वातावरण से बचें, विटामिन सी के साथ प्रतिरक्षा को बढ़ावा दें।",कोई विशिष्ट नहीं,"एंटीबायोटिक्स, ऑक्सीजन थेरेपी","शीघ्र निदान, एचआईवी रोकथाम",दवा से प्रबंधित किया जा सकता है,"श्वसन विफलता, संक्रमण","प्रारंभिक निदान, एचआईवी/एड्स का उपचार"
प्रोस्टेट कैंसर,प्रोस्�ेट कैंसर,प्रोस्टेट कॅन्सर,"दर्दनाक पेशाब, पेशाब में खून, पैल्विक दर्द","रक्त परीक्षण, प्रोस्टेट बायोप्सी",गंभीर,6-12 महीने,"आयु, पारिवारिक इतिहास, उच्च वसा वाला आहार","सर्जरी, विकिरण, कीमोथेरेपी","आयु, पारिवारिक इतिहास, जाति","उच्च वसायुक्त आहार, आयु 50 वर्ष से अधिक",अनियमित नींद,उच्च तनाव,कम,प्रोस्टेट कैंसर का पारिवारिक इतिहास,"कम वसा, उच्च फाइबर आहार",कोई नहीं,सभी मौसम,वयस्क (बुजुर्ग),पुरुष,कैंसर के उपचार की आवश्यकता है,उच्च वसा वाले खाद्य पदार्थों से परहेज करता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"अश्वगंधा (5 ग्राम), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,वात-कफ,"शराब से बचें, फाइबर का सेवन बढ़ाएं और प्रोस्टेट-स्वस्थ खाद्य पदार्थों का सेवन करें।",कोई विशिष्ट नहीं,"सर्जरी, विकिरण, हार्मोन थेरेपी","नियमित जांच, स्वस्थ जीवनशैली",उपचार से प्रबंधित किया जा सकता है,"अन्य अंगों में फैलना, असंयम","नियमित निगरानी, स्वस्थ आहार"
